ID,Ministry,Department,Agency,Lat,Long,Address
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Uthai Hospital Phra Nakhon Si Ayutthaya Province,14.36111,100.6461,"15 Moo 5 Moo 5, Uthai Subdistrict, Uthai District, Phra Nakhon Si Ayutthaya Province 13210"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Phra Nakhon Si Ayutthaya Hospital Phra Nakhon Si Ayutthaya Province,14.34305,100.5605,"46/1 Moo 4, Pratuchai Subdistrict, Phra Nakhon Si Ayutthaya District Phra Nakhon Si Ayutthaya 13000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Bacho Hospital Narathiwat Province,6.503671,101.6605,"Petchkasem Road, Moo 1, Bacho Sub-district, Bacho District, Narathiwat 96170"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Krathum Baen Hospital Samut Sakhon Province,13.65474,100.2549,"450/4 Talad Krathum Baen Subdistrict, Krathum Baen District, Samutsakorn 74110"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Tak Bai Hospital Narathiwat Province,6.250262,102.0467,"114/63 Moo 4, Tha Phraek Road, Moo 4, Je He Subdistrict, Tak Bai District, Narathiwat 96110"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Ban Chang Hospital, Rayong Province",12.72595,101.0433,"77 Moo 1, Angkinan Road, Moo 1, Phla Subdistrict, Ban Chang District, Rayong Province 21130"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Ban Dong Noi Sub-District Health Promoting Hospital, Phiman District, Nakhon Phanom Province",16.89511,104.5458,"Moo 6, Phiman Subdistrict, Na Kae District, Nakhon Phanom Province 48130"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Baan Khai Hospital, Rayong Province",12.77767,101.2933,"144 Moo 4, Nong Lalok Subdistrict, Ban Khai District, Rayong Province 21120"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Ban Khlong Bang Phai Sub-District Health Promoting Hospital, Rayong Province",12.70506,100.9964,"Moo 4, Samnakhorn Subdistrict, Ban Chang District, Rayong Province 21130"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Samrong Khok Phet Health Promoting Hospital Surin Province,14.94101,103.4494,"Moo 3, Tha Sawang Subdistrict, Mueang Surin District, Surin Province 32000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Ban Khu Bua Sub-District Health Promoting Hospital, Khu Bua District, Ratchaburi Province",13.48308,99.82405,"Moo 8, Khu Bua Sub-District, Mueang Ratchaburi District, Ratchaburi Province 70000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Laem Hospital Phetchaburi,13.20547,99.97933,"238 Moo 3, Ban Laem Subdistrict, Ban Laem District, Phetchaburi Province 76110"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Ban Luang Hospital, Nan Province",18.85205,100.4359,"No. 102 Moo 5, Pa Kha Luang Subdistrict, Ban Luang District, Nan Province 55190"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Saraphi Health Promoting Hospital Ubon Ratchathani Province,15.77793,105.251,"Moo 1, Saraphi Subdistrict, Pho Sai District, Ubon Ratchathani Province 34340"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Mi Hospital Lopburi Province,15.04446,100.5426,"139 Community Health Development Ban Mi Town Municipality, Pracha Uthit Road, Village No. 2, Ban Mi Subdistrict, Ban Mi District, Lopburi 15110"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Muang Hospital Sakon Nakhon Province,17.84745,103.5738,"299 Moo 2, Muang Subdistrict, Ban Muang District, Sakon Nakhon Province 47140"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Ban Muang Subdistrict Health Promoting Hospital, Champamon Subdistrict, Udon Thani Province",17.58363,102.3747,"Moo 11, Champamon Subdistrict, Ban Phue District, Udon Thani Province 41160"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Muang Health Promoting Hospital Nong Khai Province,18.17426,102.1699,"Moo 2, Ban Muang Subdistrict, Sangkhom District, Nong Khai Province 43160"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Muang Health Promoting Hospital Ratchaburi,13.76761,99.84385,"Moo 5, Ban Muang Subdistrict, Ban Pong District, Ratchaburi Province 70110"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Muang Health Promoting Hospital Wen Phrabat Subdistrict Nakhon Phanom Province,17.48332,104.668,"Moo 7, Wen Phrabat Sub-district, Tha Uthen District, Nakhon Phanom Province 48120"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Ban Non Kho Health Promoting Hospital, Nong Pet, Yasothon Province",15.8639,104.3182,"Moo 3, Nong Pet Subdistrict, Mueang Yasothon District, Yasothon Province 35000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Ban Nong Bua Subdistrict Health Promoting Hospital, Khuang Kham Subdistrict, Yasothon Province",15.71968,104.1901,"Moo 4, Khuangkham Subdistrict, Mueang Yasothon District, Yasothon Province 35000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Nong Chum Saeng Health Promoting Hospital Kalasin Province,16.70717,103.2469,"Moo 13, Nong Yai Subdistrict, Nong Kung Si District, Kalasin Province 46220"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Nong Waeng Yai Health Promoting Hospital Kalasin Province,16.57658,103.619,"Moo 3, Phu Po Subdistrict, Mueang Kalasin District, Kalasin Province 46000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Ban Pa Daeng Health Promoting Hospital, Phrae Province",18.09729,100.2026,"Moo 2, Pa Daeng Sub-district, Mueang Phrae District, Phrae Province 54000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Phai Rob Nuea Health Promoting Hospital Phichit Province,16.3685,100.2061,"Moo 8, Phai Rob Subdistrict, Pho Prathap Chang District, Phichit Province 66190"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Pho Hospital Chachoengsao Province,13.60148,101.0871,"107/1 Moo 1, Ban Pho-Don Si Non Road, Village No. 1, Ban Pho Sub-district, Ban Pho District, Chachoengsao Province 24140"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Phue Hospital Udon Thani Province,17.6946,102.4621,"Moo 2, Ban Phue Subdistrict, Ban Phue District, Udon Thani Province 41160"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Ban Phru Health Promoting Hospital, Songkhla Province",6.900726,100.4616,"Moo 8, Ban Pru Subdistrict, Hat Yai District, Songkhla Province 90110"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Sing Health Promoting Hospital Ratchaburi,13.65879,99.8735,"Moo 6, Ban Sing Subdistrict, Photharam District, Ratchaburi Province 70120"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Ta Khun Hospital Suratthani Province,8.914798,98.89011,"74 Moo 3, Khao Wong Subdistrict, Ban Ta Khun District, Surat Thani Province 84230"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Tha Mai Health Promoting Hospital Chainat Province,15.1835,100.1197,"Moo 5, Tha Chai Subdistrict, Mueang Chai Nat District, Chainat Province 17000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Ban Thi Hospital, Lamphun Province",18.65495,99.12747,"265 Moo 6, Ban Thi-San Phra Chao Daeng Road, Moo 6, Ban Thi Sub-district, Ban Thi District, Lamphun Province 51180"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Bang Bua Thong Hospital Nonthaburi Province,13.91803,100.4232,"Bang Kruai Sai Noi, Moo 3, Sano Loi Sub-district, Bang Bua Thong District, Nonthaburi 11110"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Bang Bua Thong 2 Hospital, Nonthaburi Province",13.93322,100.3522,"Leab Klong Ta Chom Road, Moo 8, Phimon Rat Subdistrict, Bang Bua Thong District, Nonthaburi Province 11110"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Bang Mun Nak Hospital Phichit Province,16.04006,100.3511,"Moo 9, Bang Mun Nak Subdistrict, Bang Mun Nak District, Phichit Province 66120"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Bangsai Hospital Phra Nakhon Si Ayutthaya Province,14.31733,100.2975,"58 Moo 1, Moo 1, Bang Sai Subdistrict, Bang Sai District, Phra Nakhon Si Ayutthaya Province 13270"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Bangsaphan Hospital Prachuap Khiri Khan Province,11.22062,99.5001,"93 Moo 5, Khern Noppakhun Subdistrict, Bang Saphan District, Prachuap Khiri Khan Province 77140"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Suvarnabhumi Hospital Roi Et Province,15.60815,103.8025,"National Highway 202, Sakhu Subdistrict, Suvarnabhumi District, Roi Et Province 45130"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Samutprakarn Hospital Samut Prakan Province,13.58364,100.5974,"71 Chakkaphat Road, Pak Nam Subdistrict, Mueang Samut Prakan District Samut Prakan 10270"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Samut Sakhon Hospital Samut Sakhon Province,13.5516,100.2792,"1500 Ekachai Road, Mahachai Subdistrict, Mueang Samut Sakhon District, Samutsakorn 74000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Banglamung Hospital Chonburi Province,12.96664,100.9062,"No. 6 Moo 5, Naklua Subdistrict, Bang Lamung District, Chonburi Province 20150"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Siber Health Promoting Hospital, Mae Awu Subdistrict, Chiang Mai Province",17.44741,98.35813,"Moo 7, Mae Tuen Subdistrict, Omkoi District, Chiang Mai Province 50310"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Ao Tong Sub-District Health Promoting Hospital, Trang Province",7.855589,99.38536,"Moo 1, Ao Tong Subdistrict, Wang Wiset District, Trang Province 92220"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Pak Nam Health Promoting Hospital Sukhothai,17.22271,99.90066,"Sawankhalok-Paknam Road, Moo 5, Pak Nam Subdistrict, Sawankhalok District, Sukhothai 64110"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Pak Nam Health Promoting Hospital Suphanburi,14.93604,100.0832,"Moo 1, Pak Nam Sub-district, Doem Bang Nang Buat District, Suphanburi Province 72120"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Huai Mee Health Promoting Hospital Mae Hong Son Province,19.19163,98.26933,"Moo 7, Mueang Paeng Subdistrict, Pai District, Mae Hong Son Province 58000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Muang Ngam Sub-District Health Promoting Hospital, Songkhla Province",7.345106,100.4932,"Moo 3, Muang Ngam Subdistrict, Singhanakhon District, Songkhla Province 90280"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Huay Phueng Hospital Kalasin Province,16.65599,103.9117,"177 Moo 8, Nikhom Huai Phueng Subdistrict, Huai Phueng District, Kalasin Province 46240"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Bo Kru Health Promoting Hospital Suphanburi,14.87718,99.88539,"Moo 1, Bo Kru Sub-district, Doem Bang Nang Buat District, Suphanburi Province 72120"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Bo Phak Health Promoting Hospital Phitsanulok Province,17.53692,100.8342,"Moo 4, Bo Phak Subdistrict, Chat Trakan District, Phitsanulok Province 65170"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Bo Tru Sub-District Health Promoting Hospital, Songkhla Province",7.649165,100.3974,"Moo 2, Bor Tru Subdistrict, Ranot District, Songkhla Province 90140"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Ban Hai Subdistrict Health Promoting Hospital, Rai Subdistrict, Sakon Nakhon Province",17.30371,103.8784,"Moo 2, Rai Subdistrict, Phanna Nikhom District, Sakon Nakhon Province 47130"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Huayarat Hospital Buriram Province,14.97337,103.1927,"5 Moo 8, Huai Racha Subdistrict, Huai Rat District, Buriram Province 31000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Bua Ruang Health Promoting Hospital, Racha Thewa Subdistrict, Samut Prakan Province",13.71782,100.7184,"62 / 10-11 Moo 8, Rachathewa Subdistrict, Bang Phli District, Samut Prakan 10540"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Rang Bua Health Promoting Hospital Ratchaburi,13.59284,99.50986,"Moo 1, Tambol Rang Bua, Amphur Chom Bueng, Ratchaburi 70150"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Bua Yai Subdistrict Health Promoting Hospital, Nan Province",18.32989,100.6217,"Moo 7, Bua Yai Sub-district, Na Noi District, Nan Province 55150"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Bua Yai Hospital Nakhon Ratchasima Province,15.59547,102.4307,"6 Thetsaban 12 Road, Bua Yai Subdistrict, Bua Yai District, Nakhon Ratchasima Province 30120"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Bua Yai Health Promoting Hospital Khon Kaen Province,16.61389,102.942,"Moo 6, Bua Yai Sub-district, Nam Phong District, Khon Kaen Province 40140"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Phutthamonthon Hospital Nakhon Pathom Province,13.79793,100.2889,"Moo 1, Salaya Sub-district, Phutthamonthon District, Nakhon Pathom Province 73170"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health","Huai Krating Health Promoting Hospital, Loei Province",17.50428,101.6022,"191/1 Moo 1, Kokthong Subdistrict, Mueang Loei District, Loei Province 42000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ban Bueng Hospital Chonburi Province,13.31633,101.1095,"Number 3, Soi Ban Bueng - Chonburi 19, Ban Bueng - Chonburi Road, Moo 1, Ban Bueng Sub-district, Ban Bueng District, Chonburi Province 20170"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Buriram Hospital Buriram Province,15.00539,103.1006,"1 Nana Road, Railway Station, Moo 5, Nai Mueang Subdistrict, Mueang Buri Ram District, Buriram Province 31000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Phum Kae Health Promoting Hospital Nakhon Phanom Province,16.92412,104.6209,"Moo 13, Phum Kae Subdistrict, Na Kae District, Nakhon Phanom Province 48130"
8.90E+12,Ministry of Defence,Army Medical Department,Camp Pichai Dab Hak Hospital,17.66262,100.1389,"102 Moo 8, Tha Sao Subdistrict, Mueang Uttaradit District, Uttaradit Province 53000"
8.90E+12,Ministry of Public Health,Department of Medical Services,Udon Thani Cancer Hospital,17.26358,102.8836,"Nong Phai Sub-district, Mueang Udon Thani District, Udon Thani Province 41330"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Khaen Dong Hospital Buriram Province,15.31745,103.1119,"159 Baan Song Maew Moo 6, Tambon Khan Dong, Amphur Khaen Dong, Buriram Province 31150"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Kham Khaen Noi Health Promoting Hospital Ubon Ratchathani Province,15.66088,105.1605,"Moo 10, Non Kung Subdistrict, Trakan Phuet Phon District Ubon Ratchathani 34130"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Khon Kaen Health Promoting Hospital Surin Province,15.17525,103.8202,"Moo 13, Khan Subdistrict, Sanom District, Surin Province 32160"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Kham Khan Health Promoting Hospital Khon Kaen Province,16.30217,102.4996,"Moo 12, Kham Khan Subdistrict, Moncholee District, Khon Kaen Province 40160"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Tha Khae Health Promoting Hospital Lopburi Province,14.84315,100.6185,"Sri Indra Thit Road, Moo 3, Tha Khae Subdistrict, Mueang Lop Buri District, Lopburi 15000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Khae Tok Health Promoting Hospital Phra Nakhon Si Ayutthaya Province,14.29771,100.4825,"Moo 3, Khatok Subdistrict, Bang Sai District, Phra Nakhon Si Ayutthaya Province 13190"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Kok Luang Health Promoting Hospital Mae Hong Son Province,18.52792,98.14217,"Moo 5, Mae Na Jang Subdistrict, Mae La Noi District, Mae Hong Son Province 58000"
